大白菜,0.9,1.05,1.2,,冀,斤,2024-08-11
娃娃菜,0.8,1.0,1.2,,冀,斤,2024-08-11
小白菜,2.5,2.75,3.0,,冀,斤,2024-08-11
圆白菜,1.0,1.4,1.8,,冀,斤,2024-08-11
紫甘蓝,0.7,0.75,0.8,,冀,斤,2024-08-11
芹菜,2.0,2.15,2.3,,冀,斤,2024-08-11
西芹,2.0,2.15,2.3,,辽,斤,2024-08-11
菠菜,4.0,5.0,6.0,,冀蒙,斤,2024-08-11
莴笋,1.0,2.0,3.0,,冀,斤,2024-08-11
团生菜,1.8,2.8,3.8,,冀,斤,2024-08-11
罗马生菜,1.8,3.3,4.8,,云京,斤,2024-08-11
散叶生菜,3.0,3.5,4.0,,冀京,斤,2024-08-11
油菜,2.5,3.4,4.3,,冀京,斤,2024-08-11
香菜,3.0,4.75,6.5,,冀蒙,斤,2024-08-11
茴香,3.0,3.5,4.0,,冀,斤,2024-08-11
韭菜,3.0,3.5,4.0,,冀,斤,2024-08-11
苦菊,5.0,6.0,7.0,,辽冀,斤,2024-08-11
油麦菜,4.5,5.5,6.5,,冀京,斤,2024-08-11
散菜花,2.5,3.05,3.6,,冀,斤,2024-08-11
绿菜花,2.8,3.3,3.8,,冀,斤,2024-08-11
小黄瓜,7.1,7.25,7.4,荷兰,辽鲁,斤,2024-08-10
茄子,0.9,2.2,3.5,,冀京,斤,2024-08-10
长茄,1.5,2.65,3.8,,辽晋,斤,2024-08-10
线茄,1.0,1.9,2.8,,冀,斤,2024-08-10
广茄,1.0,1.5,2.0,,京,斤,2024-08-10
冬瓜,1.3,1.35,1.4,吊,冀辽,斤,2024-08-10
冬瓜,0.65,0.68,0.7,地,冀鄂,斤,2024-08-10
毛冬瓜,0.8,1.0,1.2,长\小,冀鲁豫,斤,2024-08-10
架豆,4.0,5.0,6.0,,冀晋,斤,2024-08-10
豆王,4.0,5.25,6.5,,辽冀,斤,2024-08-10
扁豆,5.0,6.0,7.0,,晋冀,斤,2024-08-10
豇豆,5.0,5.5,6.0,,冀,斤,2024-08-10
白豆,4.0,5.5,7.0,,冀辽,斤,2024-08-10
油豆,4.0,4.75,5.5,,辽冀,斤,2024-08-10
毛豆,3.5,4.0,4.5,,川苏冀,斤,2024-08-10
花生,3.0,4.75,6.5,,粤豫桂冀,斤,2024-08-10
玉米,0.9,1.05,1.2,黄,冀,斤,2024-08-10
玉米,0.9,1.05,1.2,白\花,冀,斤,2024-08-10
苦瓜,3.0,3.75,4.5,,冀鲁,斤,2024-08-10
丝瓜,3.5,4.45,5.4,,豫鲁冀,斤,2024-08-10
姜,5.0,5.5,6.0,姜头,鲁,斤,2024-08-11
姜,6.0,7.55,9.1,整姜,鲁,斤,2024-08-11
大蒜,4.5,6.1,7.7,老,豫苏鲁,斤,2024-08-11
蒜米,4.8,5.15,5.5,机剥\手工,鲁,斤,2024-08-11
大葱,3.3,3.4,3.5,,鲁冀,斤,2024-08-11
小葱,3.0,4.0,5.0,,冀辽,斤,2024-08-11
蒜苗,2.2,4.1,6.0,蒜薹,鲁,斤,2024-08-11
蒜黄,9.5,9.75,10.0,,冀,斤,2024-08-11
青蒜,4.5,4.65,4.8,,青,斤,2024-08-11
平菇,4.0,5.0,6.0,,京蒙,斤,2024-08-11
香菇,3.5,5.25,7.0,,冀,斤,2024-08-11
白玉菇,2.2,2.6,3.0,,冀豫京,斤,2024-08-11
口蘑,7.0,7.5,8.0,,冀闽,斤,2024-08-11
